Fecha,Localidad,Latitud,Longitud,Víctima de la agresión,Candidatura ,Cargo ,Fuerza polítca del agredido(a),Presunto agresor denunciado,Fuerza politica del agresor(a) ,Tipo de agresión,Descripción,Intervención autoridades,Fuente,URL de la fuente 
28/05/2024,Encarnación de Diaz,2.152.631,-10.224.026," Gilberto Palomar González ""Tito""",Presidente municipal ,N/A,Morena ,N/A,N/A,Agresión armada,Sujetos armados irrumpieron en la casa de campaña del candidato y abrieron fuego. ,N/A,El Informador ,https://www.informador.mx/jalisco/Encarnacion-de-Diaz-Gilberto-Tito-Palomar-Gonzalez-candidato-de-Morena-a-la-alcaldia-es-agredido-a-balazos-20240528-0166.html
28/05/2024,Chalco,1.926.244,-9.889.694,Eduardo Díaz,Presidente municipal ,N/A,PVEM,N/A,N/A,Agresión armada,El vehículo en el que se transportaba fue atacado a balazos. ,N/A,Heraldo,https://hgrupoeditorial.com/eduardo-diaz-candidato-del-pvem-a-la-presidencia-municipal-de-chalco-sufre-atentado/
28/05/2024,Guadalajara,2.067.517,-10.334.733,N/A,Presidente de la república y Gobernador,,N/A,N/A,N/A,Vandalismo,"Durante el cierre de campaña de Claudia Sheinbaum y Claudia Delgadillo en el Centro Cultural Cabañas, la cancelación de las presentaciones de Santa Fé Klan y Gabito Ballesteros debido a la lluvia, causaron decepción en los asistentes, quienes lanzaron sillas",N/A,Milenio,https://www.milenio.com/espectaculos/provocan-caos-cancelarse-concierto-santa-fe-klan-video
28/05/2024,Nuevo Laredo ,2.747.793,-9.954.957,Yalheel Abdala,Presidente municipal ,N/A,Morena,N/A,PAN,"Amenazas, cohecho y persecusión.","Morena denuncia ante la FGR y la Fiscalía de Tamaulipas a Yalheel Abdala, candidata del PAN a la alcaldía de Nuevo Laredo, por presuntas amenazas, cohecho, y persecución contra militantes morenistas. ",Sí,El Universal,https://www.eluniversal.com.mx/elecciones/acusa-morena-a-candidata-del-pan-por-amenazas-y-persecucion-contra-militantes-de-nuevo-laredo/
28/05/2024,Zacatecas,2.277.279,-10.257.657, Jorge Miranda.,Presidente municipal ,N/A,Morena,N/A,Fuerza y corazón por Zacatecas,Amenazas ,"El equipo de Miranda también informó que denunció a Varela Pinedo ante la Fiscalía de Zacatecas por presuntas amedrentaciones. El diario NTR informó que presuntos integrantes de la campaña de Varela acudieron a la casa de Miranda e intimidaron a los presentes, entre ellos, menores de edad y el presidente del Comité Municipal de Morena, Óscar Martínez. . ",N/A,NTR,https://ntrzacatecas.com/2024/05/denuncia-equipo-de-jorge-miranda-a-miguel-varela/
28/05/2024,Guanajuato ,2.101.901,-10.125.735, Samantha Smith,Presidente municipal ,N/A,PRI-PAN-PRD,N/A,N/A,Amenazas ,"Encapuchados dejan 4 coronas fúnebres en distintos puntos de la ciudad dedicadas a Samantha Smith, candidata del PRI-PAN-PRD a la alcaldía de Guanajuato; Daniel Barrera, candidato a regidor; Ludovico Mata, esposo de una candidata a regidora; y Héctor Corona, secretario particular del alcalde Alejandro Navarro. Cada corona llevaba la abreviatura QEPD (Que en paz descanse). ",N/A,El Informador ,https://www.informador.mx/mexico/Elecciones-Guanajuato-2024-Dejan-coronas-funebres-con-nombres-de-candidatos-20240528-0056.html
28/05/2024,Samahil ,2.088.315,-8.988.905,N/A,N/A,Militantes,N/A,N/A,"Nueva Alianza, PVEM y Morena",Riña," Un enfrentamiento entre integrantes de Nueva Alianza, PVEM y Morena en Samahil, Yucatán, dejó un saldo de al menos 6 heridos,",N/A,El Universal,https://www.eluniversal.com.mx/elecciones/violento-enfrentamiento-politico-en-samahil-yucatan-deja-al-menos-6-heridos/
28/05/2024,San Luis Río Colorado ,3.245.188,-11.477.171,"Manuel Santeliz, “Chilaquil”",Regidor ,N/A,PRI,N/A,N/A,Amenazas ,"Manlio Fabio Beltrones, candidato a senador por el PRI-PAN-PRD denunció de manera pública amenazas contra Manuel Santeliz, “Chilaquil”, candidato a regidor de su fuerza política en San Luis Río Colorado, Sonora. ",N/A,X/@MFBeltrones,https://x.com/MFBeltrones/status/1795667675894698258
28/05/2024,Tula de Allende,2.005.355,-9.933.956,Funcionarios de Sader,N/A,N/A,N/A,Noé Paredes Meza,PT y candidato independiente,Agresión física ,"Militantes del PT y simpatizantes de Noé Paredes Meza, candidato independiente a la alcaldía de Tula de Allende, Hidalgo, fueron señalados de golpear a funcionarios de la Sader a quienes presuntamente acusaron de apoyar al candidato de Morena, Christian Martínez.",N/A,Central Hidalgo Irregerente ,https://hidalgo.periodicocentral.mx/politica/militantes-del-pt-golpean-a-funcionarios-del-gobierno-de-hidalgo-en-tula-de-allende/33734/
28/05/2024,Tizimín,2.114.546,-881.496,N/A,N/A,Simpatizantes,Morena ,N/A,N/A,Agresión física y amenazas,"Simpatizantes de Adrián Quiroz Zapote, candidato de Morena a la alcaldía de Tizimín, Yucatán, fueron interceptados cuando salían de la comisaría de Popolnah, obligados a arrodillarse, golpeados y amenazados. ",N/A,Por Esto!,https://www.poresto.net/yucatan/2024/5/28/hombres-golpean-a-simpatizantes-del-candidato-de-morena-en-tizimin.html
